schema,table,field,required,type,description,table,
cdm,note_nlp,note_nlp_source_concept_id,No,INTEGER,A foreign key to a Concept that refers to the code in the source vocabulary used by the NLP system,note_nlp,
cdm,note_nlp,nlp_system,No,VARCHAR(250),Name and version of the NLP system that extracted the term.Useful for data provenance.,note_nlp,
cdm,note_nlp,nlp_date,Yes,DATE,The date of the note processing.Useful for data provenance.,note_nlp,
cdm,note_nlp,nlp_date_time,No,DATETIME,The date and time of the note processing. Useful for data provenance.,note_nlp,
cdm,note_nlp,term_exists,No,VARCHAR(1),A summary modifier that signifies presence or absence of the term for a given patient. Useful for quick querying. *,note_nlp,
cdm,note_nlp,term_temporal,No,VARCHAR(50),An optional time modifier associated with the extracted term. (for now �past� or �present� only). Standardize it later.,note_nlp,
cdm,note_nlp,term_modifiers,No,VARCHAR(2000),"A compact description of all the modifiers of the specific term extracted by the NLP system. (e.g. �son has rash� ? �negated=no,subject=family, certainty=undef,conditional=false,general=false�).",note_nlp,
cdm,observation,observation_id,Yes,INTEGER,A unique identifier for each observation.,observation,
cdm,observation,person_id,Yes,INTEGER,A foreign key identifier to the Person about whom the observation was recorded. The demographic details of that Person are stored in the PERSON table.,observation,
cdm,observation,observation_concept_id,Yes,INTEGER,A foreign key to the standard observation concept identifier in the Standardized Vocabularies.,observation,
cdm,observation,observation_date,Yes,DATE,The date of the observation.,observation,
cdm,observation,observation_datetime,No,DATETIME,The date and time of the observation.,observation,
cdm,observation,observation_type_concept_id,Yes,INTEGER,A foreign key to the predefined concept identifier in the Standardized Vocabularies reflecting the type of the observation.,observation,
cdm,observation,value_as_number,No,FLOAT,The observation result stored as a number. This is applicable to observations where the result is expressed as a numeric value.,observation,
cdm,observation,value_as_string,No,VARCHAR(60),The observation result stored as a string. This is applicable to observations where the result is expressed as verbatim text.,observation,
cdm,observation,value_as_concept_id,No,INTEGER,"A foreign key to an observation result stored as a Concept ID. This is applicable to observations where the result can be expressed as a Standard Concept from the Standardized Vocabularies (e.g., positive/negative, present/absent, low/high, etc.).",observation,
cdm,observation,qualifier_concept_id,No,INTEGER,"A foreign key to a Standard Concept ID for a qualifier (e.g., severity of drug-drug interaction alert)",observation,
cdm,observation,unit_concept_id,No,INTEGER,A foreign key to a Standard Concept ID of measurement units in the Standardized Vocabularies.,observation,
cdm,observation,provider_id,No,INTEGER,A foreign key to the provider in the PROVIDER table who was responsible for making the observation.,observation,
cdm,observation,visit_occurrence_id,No,INTEGER,A foreign key to the visit in the VISIT_OCCURRENCE table during which the observation was recorded.,observation,
cdm,observation,observation_source_value,No,VARCHAR(50),"The observation code as it appears in the source data. This code is mapped to a Standard Concept in the Standardized Vocabularies and the original code is, stored here for reference.",observation,
cdm,observation,observation_source_concept_id,No,INTEGER,A foreign key to a Concept that refers to the code used in the source.,observation,
cdm,observation,unit_source_value,No,VARCHAR(50),"The source code for the unit as it appears in the source data. This code is mapped to a standard unit concept in the Standardized Vocabularies and the original code is, stored here for reference.",observation,
cdm,observation,qualifier_source_value,No,VARCHAR(50),The source value associated with a qualifier to characterize the observation,observation,
cdm,observation_period,observation_period_id,Yes,INTEGER,A unique identifier for each observation period.,observation_period,
cdm,observation_period,person_id,Yes,INTEGER,A foreign key identifier to the person for whom the observation period is defined. The demographic details of that person are stored in the person table.,observation_period,
cdm,observation_period,observation_period_start_date,Yes,DATE,The start date of the observation period for which data are available from the data source.,observation_period,
cdm,observation_period,observation_period_end_date,Yes,DATE,The end date of the observation period for which data are available from the data source.,observation_period,
cdm,observation_period,period_type_concept_id,Yes,INTEGER,A foreign key identifier to the predefined concept in the Standardized Vocabularies reflecting the source of the observation period information,observation_period,
cdm,person,person_id,Yes,INTEGER,A unique identifier for each person.,person,
cdm,person,gender_concept_id,Yes,INTEGER,A foreign key that refers to an identifier in the CONCEPT table for the unique gender of the person.,person,
cdm,person,year_of_birth,Yes,INTEGER,"The year of birth of the person. For data sources with date of birth, the year is extracted. For data sources where the year of birth is not available, the approximate year of birth is derived based on any age group categorization available.",person,
cdm,person,month_of_birth,No,INTEGER,"The month of birth of the person. For data sources that provide the precise date of birth, the month is extracted and stored in this field.",person,
cdm,person,day_of_birth,No,INTEGER,"The day of the month of birth of the person. For data sources that provide the precise date of birth, the day is extracted and stored in this field.",person,
cdm,person,birth_datetime,No,DATETIME,The date and time of birth of the person.,person,
cdm,person,race_concept_id,Yes,INTEGER,A foreign key that refers to an identifier in the CONCEPT table for the unique race of the person.,person,
cdm,person,ethnicity_concept_id,Yes,INTEGER,A foreign key that refers to the standard concept identifier in the Standardized Vocabularies for the ethnicity of the person.,person,
cdm,person,location_id,No,INTEGER,"A foreign key to the place of residency for the person in the location table, where the detailed address information is stored.",person,
cdm,person,provider_id,No,INTEGER,A foreign key to the primary care provider the person is seeing in the provider table.,person,
cdm,person,care_site_id,No,INTEGER,"A foreign key to the site of primary care in the care_site table, where the details of the care site are stored.",person,
cdm,person,person_source_value,No,VARCHAR(50),An (encrypted) key derived from the person identifier in the source data. This is necessary when a use case requires a link back to the person data at the source dataset.,person,
cdm,person,gender_source_value,No,VARCHAR(50),The source code for the gender of the person as it appears in the source data. The person’s gender is mapped to a standard gender concept in the Standardized Vocabularies, the original value is stored here for reference.,person
cdm,person,gender_source_concept_id,No,INTEGER,A foreign key to the gender concept that refers to the code used in the source.,person,
cdm,person,race_source_value,No,VARCHAR(50),The source code for the race of the person as it appears in the source data. The person race is mapped to a standard race concept in the Standardized Vocabularies and the original value is stored here for reference.,person,
cdm,person,race_source_concept_id,No,INTEGER,A foreign key to the race concept that refers to the code used in the source.,person,
cdm,person,ethnicity_source_value,No,VARCHAR(50),"The source code for the ethnicity of the person as it appears in the source data. The person ethnicity is mapped to a standard ethnicity concept in the Standardized Vocabularies and the original code is, stored here for reference.",person,
cdm,person,ethnicity_source_concept_id,No,INTEGER,A foreign key to the ethnicity concept that refers to the code used in the source.,person,
cdm,procedure_occurrence,procedure_occurrence_id,Yes,INTEGER,A system-generated unique identifier for each Procedure Occurrence.,procedure_occurrence,
cdm,procedure_occurrence,person_id,Yes,INTEGER,A foreign key identifier to the Person who is subjected to the Procedure. The demographic details of that Person are stored in the PERSON table.,procedure_occurrence,
cdm,procedure_occurrence,procedure_concept_id,Yes,INTEGER,A foreign key that refers to a standard procedure Concept identifier in the Standardized Vocabularies.,procedure_occurrence,
cdm,procedure_occurrence,procedure_date,Yes,DATE,The date on which the Procedure was performed.,procedure_occurrence,
cdm,procedure_occurrence,procedure_datetime,No,DATETIME,The date and time on which the Procedure was performed.,procedure_occurrence,
cdm,procedure_occurrence,procedure_type_concept_id,Yes,INTEGER,A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of source data from which the procedure record is derived.,procedure_occurrence,
cdm,procedure_occurrence,modifier_concept_id,No,INTEGER,A foreign key to a Standard Concept identifier for a modifier to the Procedure (e.g. bilateral),procedure_occurrence,
cdm,procedure_occurrence,quantity,No,INTEGER,The quantity of procedures ordered or administered.,procedure_occurrence,
cdm,procedure_occurrence,provider_id,No,INTEGER,A foreign key to the provider in the PROVIDER table who was responsible for carrying out the procedure.,procedure_occurrence,
cdm,procedure_occurrence,visit_occurrence_id,No,INTEGER,A foreign key to the Visit in the VISIT_OCCURRENCE table during which the Procedure was carried out.,procedure_occurrence,
cdm,procedure_occurrence,procedure_source_value,No,VARCHAR(50),"The source code for the Procedure as it appears in the source data. This code is mapped to a standard procedure Concept in the Standardized Vocabularies and the original code is, stored here for reference. Procedure source codes are typically ICD-9-Proc, CPT-4, HCPCS or OPCS-4 codes.",procedure_occurrence,
cdm,procedure_occurrence,procedure_source_concept_id,No,INTEGER,A foreign key to a Procedure Concept that refers to the code used in the source.,procedure_occurrence,
cdm,procedure_occurrence,qualifier_source_value,No,VARCHAR(50),The source code for the qualifier as it appears in the source data.,,
cdm,specimen,specimen_id,Yes,INTEGER,A unique identifier for each specimen.,specimen,
cdm,specimen,person_id,Yes,INTEGER,A foreign key identifier to the Person for whom the Specimen is recorded.,specimen,
cdm,specimen,specimen_concept_id,Yes,INTEGER,A foreign key referring to a Standard Concept identifier in the Standardized Vocabularies for the Specimen.,specimen,
cdm,specimen,specimen_type_concept_id,Yes,INTEGER,A foreign key referring to the Concept identifier in the Standardized Vocabularies reflecting the system of record from which the Specimen was represented in the source data.,specimen,
cdm,specimen,specimen_date,Yes,DATE,The date the specimen was obtained from the Person.,specimen,
cdm,specimen,specimen_datetime,No,DATETIME,The date and time on the date when the Specimen was obtained from the person.,specimen,
cdm,specimen,quantity,No,FLOAT,The amount of specimen collection from the person during the sampling procedure.,specimen,
cdm,specimen,unit_concept_id,No,INTEGER,A foreign key to a Standard Concept identifier for the Unit associated with the numeric quantity of the Specimen collection.,specimen,
cdm,specimen,anatomic_site_concept_id,No,INTEGER,A foreign key to a Standard Concept identifier for the anatomic location of specimen collection.,specimen,
cdm,specimen,disease_status_concept_id,No,INTEGER,A foreign key to a Standard Concept identifier for the Disease Status of specimen collection.,specimen,
cdm,specimen,specimen_source_id,No,VARCHAR(50),The Specimen identifier as it appears in the source data.,specimen,
cdm,specimen,specimen_source_value,No,VARCHAR(50),"The Specimen value as it appears in the source data. This value is mapped to a Standard Concept in the Standardized Vocabularies and the original code is, stored here for reference.",specimen,
cdm,specimen,unit_source_value,No,VARCHAR(50),The information about the Unit as detailed in the source.,specimen,
cdm,specimen,anatomic_site_source_value,No,VARCHAR(50),The information about the anatomic site as detailed in the source.,specimen,
cdm,specimen,disease_status_source_value,No,VARCHAR(50),The information about the disease status as detailed in the source.,specimen,
cdm,visit_occurrence,visit_occurrence_id,Yes,INTEGER,A unique identifier for each Person's visit or encounter at a healthcare provider.,visit_occurrence,
cdm,visit_occurrence,person_id,Yes,INTEGER,A foreign key identifier to the Person for whom the visit is recorded. The demographic details of that Person are stored in the PERSON table.,visit_occurrence,
cdm,visit_occurrence,visit_concept_id,Yes,INTEGER,A foreign key that refers to a visit Concept identifier in the Standardized Vocabularies.,visit_occurrence,
cdm,visit_occurrence,visit_start_date,Yes,DATE,The start date of the visit.,visit_occurrence,
cdm,visit_occurrence,visit_start_datetime,No,DATETIME,The date and time of the visit started.,visit_occurrence,
cdm,visit_occurrence,visit_end_date,Yes,DATE,The end date of the visit. If this is a one-day visit the end date should match the start date.,visit_occurrence,
cdm,visit_occurrence,visit_end_datetime,No,DATETIME,The date and time of the visit end.,visit_occurrence,
cdm,visit_occurrence,visit_type_concept_id,Yes,INTEGER,A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of source data from which the visit record is derived.,visit_occurrence,
cdm,visit_occurrence,provider_id,No,INTEGER,A foreign key to the provider in the provider table who was associated with the visit.,visit_occurrence,
cdm,visit_occurrence,care_site_id,No,INTEGER,A foreign key to the care site in the care site table that was visited.,visit_occurrence,
cdm,visit_occurrence,visit_source_value,No,VARCHAR(50),The source code for the visit as it appears in the source data.,visit_occurrence,
cdm,visit_occurrence,visit_source_concept_id,No,INTEGER,A foreign key to a Concept that refers to the code used in the source.,visit_occurrence,
cdm,visit_occurrence,admitting_source_concept_id,integer,NO,A foreign key to the predefined concept in the Place of Service Vocabulary reflecting the admitting source for a visit.,visit_occurrence,
cdm,visit_occurrence,admitting_source_value,varchar(50),NO,The source code for the admitting source as it appears in the source data.,visit_occurrence,
cdm,visit_occurrence,discharge_to_concept_id,integer,NO,A foreign key to the predefined concept in the Place of Service Vocabulary reflecting the discharge disposition for a visit.,visit_occurrence,
cdm,visit_occurrence,discharge_to_source_value,varchar(50),NO,The source code for the discharge disposition as it appears in the source data.,visit_occurrence,
cdm,visit_occurrence,preceding_visit_occurrence_id,integer,NO,A foreign key to the VISIT_OCCURRENCE table of the visit immediately preceding this visit,visit_occurrence,
results,cohort,cohort_definition_id,Yes,INTEGER,A foreign key to a record in the COHORT_DEFINITION table containing relevant Cohort Definition information.,cohort,
results,cohort,subject_id,Yes,INTEGER,"A foreign key to the subject in the cohort. These could be referring to records in the PERSON, PROVIDER, VISIT_OCCURRENCE table.",cohort,
results,cohort,cohort_start_date,Yes,DATE,"The date when the Cohort Definition criteria for the Person, Provider or Visit first match.",cohort,
results,cohort,cohort_end_date,Yes,DATE,"The date when the Cohort Definition criteria for the Person, Provider or Visit no longer match or the Cohort membership was terminated.",cohort,
results,cohort_attribute,cohort_definition_id,Yes,INTEGER,A foreign key to a record in the [COHORT_DEFINITION](https://github.com/OHDSI/CommonDataModel/wiki/COHORT_DEFINITION) table containing relevant Cohort Definition information.,cohort_attribute,
results,cohort_attribute,subject_id,Yes,INTEGER,"A foreign key to the subject in the Cohort. These could be referring to records in the PERSON, PROVIDER, VISIT_OCCURRENCE table.",cohort_attribute,
results,cohort_attribute,cohort_start_date,Yes,DATE,"The date when the Cohort Definition criteria for the Person, Provider or Visit first match.",cohort_attribute,
results,cohort_attribute,cohort_end_date,Yes,DATE,"The date when the Cohort Definition criteria for the Person, Provider or Visit no longer match or the Cohort membership was terminated.",cohort_attribute,
results,cohort_attribute,attribute_definition_id,Yes,INTEGER,A foreign key to a record in the [ATTRIBUTE_DEFINITION](https://github.com/OHDSI/CommonDataModel/wiki/ATTRIBUTE_DEFINITION) table containing relevant Attribute Definition information.,cohort_attribute,
results,cohort_attribute,value_as_number,No,FLOAT,The attribute result stored as a number. This is applicable to attributes where the result is expressed as a numeric value.,cohort_attribute,
results,cohort_attribute,value_as_concept_id,No,INTEGER,The attribute result stored as a Concept ID. This is applicable to attributes where the result is expressed as a categorical value.,cohort_attribute,
cdm,condition_era,condition_era_id,Yes,INTEGER,A unique identifier for each Condition Era.,condition_era,
cdm,condition_era,person_id,Yes,INTEGER,A foreign key identifier to the Person who is experiencing the Condition during the Condition Era. The demographic details of that Person are stored in the PERSON table.,condition_era,
cdm,condition_era,condition_concept_id,Yes,INTEGER,A foreign key that refers to a standard Condition Concept identifier in the Standardized Vocabularies.,condition_era,
cdm,condition_era,condition_era_start_date,Yes,DATE,The start date for the Condition Era constructed from the individual instances of Condition Occurrences. It is the start date of the very first chronologically recorded instance of the condition.,condition_era,
cdm,condition_era,condition_era_end_date,Yes,DATE,The end date for the Condition Era constructed from the individual instances of Condition Occurrences. It is the end date of the final continuously recorded instance of the Condition.,condition_era,
cdm,condition_era,condition_occurrence_count,No,INTEGER,The number of individual Condition Occurrences used to construct the condition era.,condition_era,
