"","field","required","type","description","table","schema"
"16","condition_status_concept_id","No","INTEGER","A foreign key to the predefined Concept in the Standard Vocabulary reflecting the condition status","condition_occurrence","cdm"
"17","person_id","Yes","INTEGER","A foreign key identifier to the deceased person. The demographic details of that person are stored in the person table.","death","cdm"
"18","death_date","Yes","DATE","The date the person was deceased. If the precise date including day or month is not known or not allowed, December is used as the default month, and the last day of the month the default day.","death","cdm"
"19","death_datetime","No","DATETIME","The date and time the person was deceased. If the precise date including day or month is not known or not allowed, December is used as the default month, and the last day of the month the default day.","death","cdm"
"20","death_type_concept_id","Yes","INTEGER","A foreign key referring to the predefined concept identifier in the Standardized Vocabularies reflecting how the death was represented in the source data.","death","cdm"
"21","cause_concept_id","No","INTEGER","A foreign key referring to a standard concept identifier in the Standardized Vocabularies for conditions.","death","cdm"
"22","cause_source_value","No","VARCHAR(50)","The source code for the cause of death as it appears in the source data. This code is mapped to a standard concept in the Standardized Vocabularies and the original code is, stored here for reference.","death","cdm"
"23","cause_source_concept_id","No","INTEGER","A foreign key to the concept that refers to the code used in the source. Note, this variable name is abbreviated to ensure it will be allowable across database platforms.","death","cdm"
"24","device_exposure_id","Yes","INTEGER","A system-generated unique identifier for each Device Exposure.","device_exposure","cdm"
"25","person_id","Yes","INTEGER","A foreign key identifier to the Person who is subjected to the Device. The demographic details of that person are stored in the Person table.","device_exposure","cdm"
"26","device_concept_id","Yes","INTEGER","A foreign key that refers to a Standard Concept identifier in the Standardized Vocabularies for the Device concept.","device_exposure","cdm"
"27","device_exposure_start_date","Yes","DATE","The date the Device or supply was applied or used.","device_exposure","cdm"
"28","device_exposure_start_datetime","No","DATETIME","The date and time the Device or supply was applied or used.","device_exposure","cdm"
"29","device_exposure_end_date","No","DATE","The date the Device or supply was removed from use.","device_exposure","cdm"
"30","device_exposure_end_datetime","No","DATETIME","The date and time the Device or supply was removed from use.","device_exposure","cdm"
"31","device_type_concept_id","Yes","INTEGER","A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of Device Exposure recorded. It indicates how the Device Exposure was represented in the source data.","device_exposure","cdm"
"32","unique_device_id","No","VARCHAR(50)","A UDI or equivalent identifying the instance of the Device used in the Person.","device_exposure","cdm"
"33","quantity","No","INTEGER","The number of individual Devices used for the exposure.","device_exposure","cdm"
"34","provider_id","No","INTEGER","A foreign key to the provider in the PROVIDER table who initiated of administered the Device.","device_exposure","cdm"
"35","visit_occurrence_id","No","INTEGER","A foreign key to the visit in the VISIT_OCCURRENCE table during which the device was used.","device_exposure","cdm"
"36","visit_detail_id","No","INTEGER","A foreign key to the visit detail in the VISIT_DETAIL table during which the Drug Exposure was initiated.","device_exposure","cdm"
"37","device_source_value","No","VARCHAR(50)","The source code for the Device as it appears in the source data. This code is mapped to a standard Device Concept in the Standardized Vocabularies and the original code is stored here for reference.","device_exposure","cdm"
"38","device_source_concept_id","No","INTEGER","A foreign key to a Device Concept that refers to the code used in the source.","device_exposure","cdm"
"39","drug_exposure_id","Yes","INTEGER","A system-generated unique identifier for each Drug utilization event.","drug_exposure","cdm"
"40","person_id","Yes","INTEGER","A foreign key identifier to the person who is subjected to the Drug. The demographic details of that person are stored in the person table.","drug_exposure","cdm"
"41","drug_concept_id","Yes","INTEGER","A foreign key that refers to a Standard Concept identifier in the Standardized Vocabularies for the Drug concept.","drug_exposure","cdm"
"42","drug_exposure_start_date","Yes","DATE","The start date for the current instance of Drug utilization. Valid entries include a start date of a prescription, the date a prescription was filled, or the date on which a Drug administration procedure was recorded.","drug_exposure","cdm"
"43","drug_exposure_start_datetime","No","DATETIME","The start date and time for the current instance of Drug utilization. Valid entries include a start date of a prescription, the date a prescription was filled, or the date on which a Drug administration procedure was recorded.","drug_exposure","cdm"
"44","drug_exposure_end_date","Yes","DATE","The end date for the current instance of Drug utilization. It is not available from all sources.","drug_exposure","cdm"
"45","drug_exposure_end_datetime","No","DATETIME","The end date and time for the current instance of Drug utilization. It is not available from all sources.","drug_exposure","cdm"
"46","verbatim_end_date","No","DATE","The known end date of a drug_exposure as provided by the source","drug_exposure","cdm"
"47","drug_type_concept_id","Yes","INTEGER","A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of Drug Exposure recorded. It indicates how the Drug Exposure was represented in the source data.","drug_exposure","cdm"
"48","stop_reason","No","VARCHAR(20)","The reason the Drug was stopped. Reasons include regimen completed, changed, removed, etc.","drug_exposure","cdm"
"49","refills","No","INTEGER","The number of refills after the initial prescription. The initial prescription is not counted, values start with 0.","drug_exposure","cdm"
"50","quantity","No","FLOAT","The quantity of drug as recorded in the original prescription or dispensing record.","drug_exposure","cdm"
"51","days_supply","No","INTEGER","The number of days of supply of the medication as recorded in the original prescription or dispensing record.","drug_exposure","cdm"
"52","sig","No","VARCHAR(MAX)","The directions (""signetur"") on the Drug prescription as recorded in the original prescription (and printed on the container) or dispensing record.","drug_exposure","cdm"
"53","route_concept_id","No","INTEGER","A foreign key to a predefined concept in the Standardized Vocabularies reflecting the route of administration.","drug_exposure","cdm"
"54","lot_number","No","VARCHAR(50)","An identifier assigned to a particular quantity or lot of Drug product from the manufacturer.","drug_exposure","cdm"
"55","provider_id","No","INTEGER","A foreign key to the provider in the PROVIDER table who initiated (prescribed or administered) the Drug Exposure.","drug_exposure","cdm"
"56","visit_occurrence_id","No","INTEGER","A foreign key to the Visit in the VISIT_OCCURRENCE table during which the Drug Exposure was initiated.","drug_exposure","cdm"
"57","visit_detail_id","No","INTEGER","A foreign key to the Visit Detail in the VISIT_DETAIL table during which the Drug Exposure was initiated.","drug_exposure","cdm"
"58","drug_source_value","No","VARCHAR(50)","The source code for the Drug as it appears in the source data. This code is mapped to a Standard Drug concept in the Standardized Vocabularies and the original code is, stored here for reference.","drug_exposure","cdm"
"59","drug_source_concept_id","No","INTEGER","A foreign key to a Drug Concept that refers to the code used in the source.","drug_exposure","cdm"
"60","route_source_value","No","VARCHAR(50)","The information about the route of administration as detailed in the source.","drug_exposure","cdm"
"61","dose_unit_source_value","No","VARCHAR(50)","The information about the dose unit as detailed in the source.","drug_exposure","cdm"
"62","domain_concept_id_1","Yes","INTEGER","The concept representing the domain of fact one, from which the corresponding table can be inferred.","fact_relationship","cdm"
"63","fact_id_1","Yes","INTEGER","The unique identifier in the table corresponding to the domain of fact one.","fact_relationship","cdm"
"64","domain_concept_id_2","Yes","INTEGER","The concept representing the domain of fact two, from which the corresponding table can be inferred.","fact_relationship","cdm"
"65","fact_id_2","Yes","INTEGER","The unique identifier in the table corresponding to the domain of fact two.","fact_relationship","cdm"
"66","relationship_concept_id","Yes","INTEGER","A foreign key to a Standard Concept ID of relationship in the Standardized Vocabularies.","fact_relationship","cdm"
"67","measurement_id","Yes","INTEGER","A unique identifier for each Measurement.","measurement","cdm"
"68","person_id","Yes","INTEGER","A foreign key identifier to the Person about whom the measurement was recorded. The demographic details of that Person are stored in the PERSON table.","measurement","cdm"
"69","measurement_concept_id","Yes","INTEGER","A foreign key to the standard measurement concept identifier in the Standardized Vocabularies.","measurement","cdm"
"70","measurement_date","Yes","DATE","The date of the Measurement.","measurement","cdm"
"71","measurement_datetime","No","DATETIME","The date and time of the Measurement. Some database systems don't have a datatype of time. To accomodate all temporal analyses, datatype datetime can be used (combining measurement_date and measurement_time [forum discussion](http://forums.ohdsi.org/t/date-time-and-datetime-problem-and-the-world-of-hours-and-1day/314))","measurement","cdm"
"72","measurement_time","No","VARCHAR(10)","The time of the Measurement. This is present for backwards compatibility and will deprecated in an upcoming version","measurement","cdm"
"73","measurement_type_concept_id","Yes","INTEGER","A foreign key to the predefined Concept in the Standardized Vocabularies reflecting the provenance from where the Measurement record was recorded.","measurement","cdm"
"74","operator_concept_id","No","INTEGER","A foreign key identifier to the predefined Concept in the Standardized Vocabularies reflecting the mathematical operator that is applied to the value_as_number. Operators are <, <=, =, >=, >.","measurement","cdm"
"75","value_as_number","No","FLOAT","A Measurement result where the result is expressed as a numeric value.","measurement","cdm"
"76","value_as_concept_id","No","INTEGER","A foreign key to a Measurement result represented as a Concept from the Standardized Vocabularies (e.g., positive/negative, present/absent, low/high, etc.).","measurement","cdm"
"77","unit_concept_id","No","INTEGER","A foreign key to a Standard Concept ID of Measurement Units in the Standardized Vocabularies.","measurement","cdm"
"78","range_low","No","FLOAT","The lower limit of the normal range of the Measurement result. The lower range is assumed to be of the same unit of measure as the Measurement value.","measurement","cdm"
"79","range_high","No","FLOAT","The upper limit of the normal range of the Measurement. The upper range is assumed to be of the same unit of measure as the Measurement value.","measurement","cdm"
"80","provider_id","No","INTEGER","A foreign key to the provider in the PROVIDER table who was responsible for initiating or obtaining the measurement.","measurement","cdm"
"81","visit_occurrence_id","No","INTEGER","A foreign key to the Visit in the VISIT_OCCURRENCE table during which the Measurement was recorded.","measurement","cdm"
"82","visit_detail_id","No","INTEGER","A foreign key to the Visit Detail in the VISIT_DETAIL table during which the Measurement was recorded.","measurement","cdm"
"83","measurement_source_value","No","VARCHAR(50)","The Measurement name as it appears in the source data. This code is mapped to a Standard Concept in the Standardized Vocabularies and the original code is stored here for reference.","measurement","cdm"
"84","measurement_source_concept_id","No","INTEGER","A foreign key to a Concept in the Standard Vocabularies that refers to the code used in the source.","measurement","cdm"
"85","unit_source_value","No","VARCHAR(50)","The source code for the unit as it appears in the source data. This code is mapped to a standard unit concept in the Standardized Vocabularies and the original code is stored here for reference.","measurement","cdm"
"86","value_source_value","No","VARCHAR(50)","The source value associated with the content of the value_as_number or value_as_concept_id as stored in the source data.","measurement","cdm"
"87","note_id","Yes","INTEGER","A unique identifier for each note.","note","cdm"
"88","person_id","Yes","INTEGER","A foreign key identifier to the Person about whom the Note was recorded. The demographic details of that Person are stored in the PERSON table.","note","cdm"
"89","note_date","Yes","DATE","The date the note was recorded.","note","cdm"
"90","note_datetime","No","DATETIME","The date and time the note was recorded.","note","cdm"
"91","note_type_concept_id","Yes","INTEGER","A foreign key to the predefined Concept in the Standardized Vocabularies reflecting the type, origin or provenance of the Note.","note","cdm"
"92","note_class_concept_id","Yes","INTEGER","A foreign key to the predefined Concept in the Standardized Vocabularies reflecting the HL7 LOINC Document Type Vocabulary classification of the note.","note","cdm"
"93","note_title","No","VARCHAR(250)","The title of the Note as it appears in the source.","note","cdm"
"94","note_text","Yes","VARCHAR(MAX)","The content of the Note.","note","cdm"
"95","encoding_concept_id","Yes","INTEGER","A foreign key to the predefined Concept in the Standardized Vocabularies reflecting the note character encoding type","note","cdm"
"96","language_concept_id","Yes","INTEGER","A foreign key to the predefined Concept in the Standardized Vocabularies reflecting the language of the note","note","cdm"
"97","provider_id","No","INTEGER","A foreign key to the Provider in the PROVIDER table who took the Note.","note","cdm"
"98","visit_occurrence_id","No","INTEGER","A foreign key to the Visit in the VISIT_OCCURRENCE table when the Note was taken.","note","cdm"
"99","visit_detail_id","No","INTEGER","A foreign key to the Visit in the VISIT_DETAIL table when the Note was taken.","note","cdm"
"100","note_source_value","No","VARCHAR(50)","The source value associated with the origin of the Note","note","cdm"
"101","yes","integer","A UNIQUE IDENTIFIER FOR EACH TERM EXTRACTED FROM A NOTE.",NA,"note_nlp","cdm"
"102","yes","integer","A FOREIGN KEY TO THE NOTE TABLE NOTE THE TERM WAS EXTRACTED FROM.",NA,"note_nlp","cdm"
"103","no","integer","A FOREIGN KEY TO THE PREDEFINED CONCEPT IN THE STANDARDIZED VOCABULARIES REPRESENTING THE SECTION OF THE EXTRACTED TERM.",NA,"note_nlp","cdm"
"104","no","varchar(250)","A SMALL WINDOW OF TEXT SURROUNDING THE TERM.",NA,"note_nlp","cdm"
"105","no","varchar(50)","CHARACTER OFFSET OF THE EXTRACTED TERM IN THE INPUT NOTE.",NA,"note_nlp","cdm"
"106","yes","varchar(250)","RAW TEXT EXTRACTED FROM THE NLP TOOL.",NA,"note_nlp","cdm"
"107","no","integer","A FOREIGN KEY TO THE PREDEFINED CONCEPT IN THE STANDARDIZED VOCABULARIES REFLECTING THE NORMALIZED CONCEPT FOR THE EXTRACTED TERM. DOMAIN OF THE TERM IS REPRESENTED AS PART OF THE CONCEPT TABLE.",NA,"note_nlp","cdm"
"108","no","integer","A FOREIGN KEY TO A CONCEPT THAT REFERS TO THE CODE IN THE SOURCE VOCABULARY USED BY THE NLP SYSTEM",NA,"note_nlp","cdm"
"109","no","varchar(250)","NAME AND VERSION OF THE NLP SYSTEM THAT EXTRACTED THE TERM.USEFUL FOR DATA PROVENANCE.",NA,"note_nlp","cdm"
"110","yes","date","THE DATE OF THE NOTE PROCESSING.USEFUL FOR DATA PROVENANCE.",NA,"note_nlp","cdm"
"111","no","datetime","THE DATE AND TIME OF THE NOTE PROCESSING. USEFUL FOR DATA PROVENANCE.",NA,"note_nlp","cdm"
"112","no","varchar(1)","A SUMMARY MODIFIER THAT SIGNIFIES PRESENCE OR ABSENCE OF THE TERM FOR A GIVEN PATIENT. USEFUL FOR QUICK QUERYING.",NA,"note_nlp","cdm"
"113","no","varchar(50)","AN OPTIONAL TIME MODIFIER ASSOCIATED WITH THE EXTRACTED TERM. (FOR NOW “PAST” OR “PRESENT” ONLY). STANDARDIZE IT LATER.",NA,"note_nlp","cdm"
"114","no","varchar(2000)","A COMPACT DESCRIPTION OF ALL THE MODIFIERS OF THE SPECIFIC TERM EXTRACTED BY THE NLP SYSTEM. (E.G. “SON HAS RASH” ? “NEGATED=NO,SUBJECT=FAMILY, CERTAINTY=UNDEF,CONDITIONAL=FALSE,GENERAL=FALSE”).",NA,"note_nlp","cdm"
"115","observation_id","Yes","INTEGER","A unique identifier for each observation.","observation","cdm"
"116","person_id","Yes","INTEGER","A foreign key identifier to the Person about whom the observation was recorded. The demographic details of that Person are stored in the PERSON table.","observation","cdm"
"117","observation_concept_id","Yes","INTEGER","A foreign key to the standard observation concept identifier in the Standardized Vocabularies.","observation","cdm"
"118","observation_date","Yes","DATE","The date of the observation.","observation","cdm"
"119","observation_datetime","No","DATETIME","The date and time of the observation.","observation","cdm"
"120","observation_type_concept_id","Yes","INTEGER","A foreign key to the predefined concept identifier in the Standardized Vocabularies reflecting the type of the observation.","observation","cdm"
"121","value_as_number","No","FLOAT","The observation result stored as a number. This is applicable to observations where the result is expressed as a numeric value.","observation","cdm"
"122","value_as_string","No","VARCHAR(60)","The observation result stored as a string. This is applicable to observations where the result is expressed as verbatim text.","observation","cdm"
"123","value_as_concept_id","No","INTEGER","A foreign key to an observation result stored as a Concept ID. This is applicable to observations where the result can be expressed as a Standard Concept from the Standardized Vocabularies (e.g., positive/negative, present/absent, low/high, etc.).","observation","cdm"
"124","qualifier_concept_id","No","INTEGER","A foreign key to a Standard Concept ID for a qualifier (e.g., severity of drug-drug interaction alert)","observation","cdm"
"125","unit_concept_id","No","INTEGER","A foreign key to a Standard Concept ID of measurement units in the Standardized Vocabularies.","observation","cdm"
"126","provider_id","No","INTEGER","A foreign key to the provider in the PROVIDER table who was responsible for making the observation.","observation","cdm"
"127","visit_occurrence_id","No","INTEGER","A foreign key to the visit in the VISIT_OCCURRENCE table during which the observation was recorded.","observation","cdm"
"128","visit_detail_id","No","INTEGER","A foreign key to the visit in the VISIT_DETAIL table during which the observation was recorded.","observation","cdm"
"129","observation_source_value","No","VARCHAR(50)","The observation code as it appears in the source data. This code is mapped to a Standard Concept in the Standardized Vocabularies and the original code is, stored here for reference.","observation","cdm"
"130","observation_source_concept_id","No","INTEGER","A foreign key to a Concept that refers to the code used in the source.","observation","cdm"
"131","unit_source_value","No","VARCHAR(50)","The source code for the unit as it appears in the source data. This code is mapped to a standard unit concept in the Standardized Vocabularies and the original code is, stored here for reference.","observation","cdm"
"132","qualifier_source_value","No","VARCHAR(50)","The source value associated with a qualifier to characterize the observation","observation","cdm"
"133","observation_period_id","Yes","INTEGER","A unique identifier for each observation period.","observation_period","cdm"
"134","person_id","Yes","INTEGER","A foreign key identifier to the person for whom the observation period is defined. The demographic details of that person are stored in the person table.","observation_period","cdm"
"135","observation_period_start_date","Yes","DATE","The start date of the observation period for which data are available from the data source.","observation_period","cdm"
"136","observation_period_end_date","Yes","DATE","The end date of the observation period for which data are available from the data source.","observation_period","cdm"
"137","period_type_concept_id","Yes","INTEGER","A foreign key identifier to the predefined concept in the Standardized Vocabularies reflecting the source of the observation period information","observation_period","cdm"
"138","person_id","Yes","INTEGER","A unique identifier for each person.","person","cdm"
"139","gender_concept_id","Yes","INTEGER","A foreign key that refers to an identifier in the CONCEPT table for the unique gender of the person.","person","cdm"
"140","year_of_birth","Yes","INTEGER","The year of birth of the person. For data sources with date of birth, the year is extracted. For data sources where the year of birth is not available, the approximate year of birth is derived based on any age group categorization available.","person","cdm"
"141","month_of_birth","No","INTEGER","The month of birth of the person. For data sources that provide the precise date of birth, the month is extracted and stored in this field.","person","cdm"
"142","day_of_birth","No","INTEGER","The day of the month of birth of the person. For data sources that provide the precise date of birth, the day is extracted and stored in this field.","person","cdm"
"143","birth_datetime","No","DATETIME","The date and time of birth of the person.","person","cdm"
"144","race_concept_id","Yes","INTEGER","A foreign key that refers to an identifier in the CONCEPT table for the unique race of the person.","person","cdm"
"145","ethnicity_concept_id","Yes","INTEGER","A foreign key that refers to the standard concept identifier in the Standardized Vocabularies for the ethnicity of the person.","person","cdm"
"146","location_id","No","INTEGER","A foreign key to the place of residency for the person in the location table, where the detailed address information is stored.","person","cdm"
"147","provider_id","No","INTEGER","A foreign key to the primary care provider the person is seeing in the provider table.","person","cdm"
"148","care_site_id","No","INTEGER","A foreign key to the site of primary care in the care_site table, where the details of the care site are stored.","person","cdm"
"149","person_source_value","No","VARCHAR(50)","An (encrypted) key derived from the person identifier in the source data. This is necessary when a use case requires a link back to the person data at the source dataset.","person","cdm"
"150","gender_source_value","No","VARCHAR(50)","The source code for the gender of the person as it appears in the source data. The personâ€™s gender is mapped to a standard gender concept in the Standardized Vocabularies; the original value is stored here for reference.","person","cdm"
"151","gender_source_concept_id","No","INTEGER","A foreign key to the gender concept that refers to the code used in the source.","person","cdm"
"152","race_source_value","No","VARCHAR(50)","The source code for the race of the person as it appears in the source data. The person race is mapped to a standard race concept in the Standardized Vocabularies and the original value is stored here for reference.","person","cdm"
"153","race_source_concept_id","No","INTEGER","A foreign key to the race concept that refers to the code used in the source.","person","cdm"
"154","ethnicity_source_value","No","VARCHAR(50)","The source code for the ethnicity of the person as it appears in the source data. The person ethnicity is mapped to a standard ethnicity concept in the Standardized Vocabularies and the original code is, stored here for reference.","person","cdm"
"155","ethnicity_source_concept_id","No","INTEGER","A foreign key to the ethnicity concept that refers to the code used in the source.","person","cdm"
"156","procedure_occurrence_id","Yes","INTEGER","A system-generated unique identifier for each Procedure Occurrence.","procedure_occurrence","cdm"
"157","person_id","Yes","INTEGER","A foreign key identifier to the Person who is subjected to the Procedure. The demographic details of that Person are stored in the PERSON table.","procedure_occurrence","cdm"
"158","procedure_concept_id","Yes","INTEGER","A foreign key that refers to a standard procedure Concept identifier in the Standardized Vocabularies.","procedure_occurrence","cdm"
"159","procedure_date","Yes","DATE","The date on which the Procedure was performed.","procedure_occurrence","cdm"
"160","procedure_datetime","No","DATETIME","The date and time on which the Procedure was performed.","procedure_occurrence","cdm"
"161","procedure_type_concept_id","Yes","INTEGER","A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of source data from which the procedure record is derived.","procedure_occurrence","cdm"
"162","modifier_concept_id","No","INTEGER","A foreign key to a Standard Concept identifier for a modifier to the Procedure (e.g. bilateral)","procedure_occurrence","cdm"
"163","quantity","No","INTEGER","The quantity of procedures ordered or administered.","procedure_occurrence","cdm"
"164","provider_id","No","INTEGER","A foreign key to the provider in the PROVIDER table who was responsible for carrying out the procedure.","procedure_occurrence","cdm"
"165","visit_occurrence_id","No","INTEGER","A foreign key to the Visit in the VISIT_OCCURRENCE table during which the Procedure was carried out.","procedure_occurrence","cdm"
"166","visit_detail_id","No","INTEGER","A foreign key to the Visit Detail in the VISIT_DETAIL table during which the Procedure was carried out.","procedure_occurrence","cdm"
"167","procedure_source_value","No","VARCHAR(50)","The source code for the Procedure as it appears in the source data. This code is mapped to a standard procedure Concept in the Standardized Vocabularies and the original code is, stored here for reference. Procedure source codes are typically ICD-9-Proc, CPT-4, HCPCS or OPCS-4 codes.","procedure_occurrence","cdm"
"168","procedure_source_concept_id","No","INTEGER","A foreign key to a Procedure Concept that refers to the code used in the source.","procedure_occurrence","cdm"
"169","modifier_source_value","No","VARCHAR(50)","The source code for the qualifier as it appears in the source data.","procedure_occurrence","cdm"
"170","specimen_id","Yes","INTEGER","A unique identifier for each specimen.","specimen","cdm"
"171","person_id","Yes","INTEGER","A foreign key identifier to the Person for whom the Specimen is recorded.","specimen","cdm"
"172","specimen_concept_id","Yes","INTEGER","A foreign key referring to a Standard Concept identifier in the Standardized Vocabularies for the Specimen.","specimen","cdm"
"173","specimen_type_concept_id","Yes","INTEGER","A foreign key referring to the Concept identifier in the Standardized Vocabularies reflecting the system of record from which the Specimen was represented in the source data.","specimen","cdm"
"174","specimen_date","Yes","DATE","The date the specimen was obtained from the Person.","specimen","cdm"
"175","specimen_datetime","No","DATETIME","The date and time on the date when the Specimen was obtained from the person.","specimen","cdm"
"176","quantity","No","FLOAT","The amount of specimen collection from the person during the sampling procedure.","specimen","cdm"
"177","unit_concept_id","No","INTEGER","A foreign key to a Standard Concept identifier for the Unit associated with the numeric quantity of the Specimen collection.","specimen","cdm"
"178","anatomic_site_concept_id","No","INTEGER","A foreign key to a Standard Concept identifier for the anatomic location of specimen collection.","specimen","cdm"
"179","disease_status_concept_id","No","INTEGER","A foreign key to a Standard Concept identifier for the Disease Status of specimen collection.","specimen","cdm"
"180","specimen_source_id","No","VARCHAR(50)","The Specimen identifier as it appears in the source data.","specimen","cdm"
"181","specimen_source_value","No","VARCHAR(50)","The Specimen value as it appears in the source data. This value is mapped to a Standard Concept in the Standardized Vocabularies and the original code is, stored here for reference.","specimen","cdm"
"182","unit_source_value","No","VARCHAR(50)","The information about the Unit as detailed in the source.","specimen","cdm"
"183","anatomic_site_source_value","No","VARCHAR(50)","The information about the anatomic site as detailed in the source.","specimen","cdm"
"184","disease_status_source_value","No","VARCHAR(50)","The information about the disease status as detailed in the source.","specimen","cdm"
"185","visit_detail_id","Yes","INTEGER","A unique identifier for each Person's visit or encounter at a healthcare provider.","visit_detail","cdm"
"186","person_id","Yes","INTEGER","A foreign key identifier to the Person for whom the visit is recorded. The demographic details of that Person are stored in the PERSON table.","visit_detail","cdm"
"187","visit_concept_id","Yes","INTEGER","A foreign key that refers to a visit Concept identifier in the Standardized Vocabularies.","visit_detail","cdm"
"188","visit_start_date","Yes","DATE","The start date of the visit.","visit_detail","cdm"
"189","visit_start_datetime","No","DATETIME","The date and time of the visit started.","visit_detail","cdm"
"190","visit_end_date","Yes","DATE","The end date of the visit. If this is a one-day visit the end date should match the start date.","visit_detail","cdm"
"191","visit_end_datetime","No","DATETIME","The date and time of the visit end.","visit_detail","cdm"
"192","visit_type_concept_id","Yes","INTEGER","A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of source data from which the visit record is derived.","visit_detail","cdm"
"193","provider_id","No","INTEGER","A foreign key to the provider in the provider table who was associated with the visit.","visit_detail","cdm"
"194","care_site_id","No","INTEGER","A foreign key to the care site in the care site table that was visited.","visit_detail","cdm"
"195","visit_source_value","No","STRING(50)","The source code for the visit as it appears in the source data.","visit_detail","cdm"
"196","visit_source_concept_id","No","INTEGER","A foreign key to a Concept that refers to the code used in the source.","visit_detail","cdm"
"197","admitting_source_value","No","VARCHAR(50)","The source code for the admitting source as it appears in the source data.","visit_detail","cdm"
"198","admitting_source_concept_id","No","INTEGER","A foreign key to the predefined concept in the Place of Service Vocabulary reflecting the admitting source for a visit.","visit_detail","cdm"
"199","discharge_to_source_value","No","VARCHAR(50)","The source code for the discharge disposition as it appears in the source data.","visit_detail","cdm"
"200","discharge_to_concept_id","No","INTEGER","A foreign key to the predefined concept in the Place of Service Vocabulary reflecting the discharge disposition for a visit.","visit_detail","cdm"
"201","preceding_visit_detail_id","No","INTEGER","A foreign key to the VISIT_DETAIL table of the visit immediately preceding this visit","visit_detail","cdm"
"202","visit_detail_parent_id","No","INTEGER","A foreign key to the VISIT_DETAIL table record to represent the immediate parent visit-detail record.","visit_detail","cdm"
"203","visit_occurrence_id","Yes","INTEGER","A foreign key that refers to the record in the VISIT_OCCURRENCE table. This is a required field, because for every visit_detail is a child of visit_occurrence and cannot exist without a corresponding parent record in visit_occurrence.","visit_detail","cdm"
"204","visit_occurrence_id","Yes","INTEGER","A unique identifier for each Person's visit or encounter at a healthcare provider.","visit_occurrence","cdm"
"205","person_id","Yes","INTEGER","A foreign key identifier to the Person for whom the visit is recorded. The demographic details of that Person are stored in the PERSON table.","visit_occurrence","cdm"
"206","visit_concept_id","Yes","INTEGER","A foreign key that refers to a visit Concept identifier in the Standardized Vocabularies.","visit_occurrence","cdm"
"207","visit_start_date","Yes","DATE","The start date of the visit.","visit_occurrence","cdm"
"208","visit_start_datetime","No","DATETIME","The date and time of the visit started.","visit_occurrence","cdm"
"209","visit_end_date","Yes","DATE","The end date of the visit. If this is a one-day visit the end date should match the start date.","visit_occurrence","cdm"
"210","visit_end_datetime","No","DATETIME","The date and time of the visit end.","visit_occurrence","cdm"
"211","visit_type_concept_id","Yes","INTEGER","A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of source data from which the visit record is derived.","visit_occurrence","cdm"
"212","provider_id","No","INTEGER","A foreign key to the provider in the provider table who was associated with the visit.","visit_occurrence","cdm"
"213","care_site_id","No","INTEGER","A foreign key to the care site in the care site table that was visited.","visit_occurrence","cdm"
"214","visit_source_value","No","VARCHAR(50)","The source code for the visit as it appears in the source data.","visit_occurrence","cdm"
